ID,Question,Hardness,Gold SQL,Single_Agent_SQL,Single_Agent_Correct,Single_Agent_Time,Multi_Agent_SQL,Multi_Agent_Correct,Multi_Agent_Time,Multi_Agent_RAG_SQL,Multi_Agent_RAG_Correct,Multi_Agent_RAG_Time
42,What is the first name of the student whose permanent address is different from his or her current one?,easy,SELECT first_name FROM Students WHERE current_address_id != permanent_address_id,"SELECT T1.first_name 
FROM Students AS T1 
JOIN Addresses AS T2 ON T1.permanent_address_id = T2.address_id 
WHERE T1.current_address_id != T2.address_id",Yes,4.4,SELECT T1.first_name FROM Students AS T1 JOIN Addresses AS T2 ON T1.current_address_id = T2.address_id WHERE T1.permanent_address_id <> T1.current_address_id;,Yes,14.3,SELECT first_name FROM Students WHERE permanent_address_id <> current_address_id;,Yes,11.5
43,Which address holds the most number of students currently? List the address id and all lines.,medium,"SELECT T1.address_id ,  T1.line_1 ,  T1.line_2 FROM Addresses AS T1 JOIN Students AS T2 ON T1.address_id  =  T2.current_address_id GROUP BY T1.address_id ORDER BY count(*) DESC LIMIT 1","SELECT A.address_id, A.line_1, A.line_2, A.line_3
FROM Students S
JOIN Addresses A ON S.current_address_id = A.address_id
GROUP BY A.address_id
ORDER BY COUNT(S.student_id) DESC
LIMIT 1;",No,5.1,"SELECT T1.line_1, T1.line_2, T1.line_3 FROM Addresses AS T1 INNER JOIN Students AS T2 ON T1.address_id = T2.current_address_id GROUP BY T1.address_id ORDER BY COUNT(T2.student_id) DESC LIMIT 1;",No,13.5,"SELECT c.current_address_id, c.lines FROM Students AS s JOIN current_address AS c ON s.current_address_id = c.id GROUP BY c.current_address_id ORDER BY COUNT(*) DESC LIMIT 1;",No,79.2
44,"What is the id, line 1, and line 2 of the address with the most students?",medium,"SELECT T1.address_id ,  T1.line_1 ,  T1.line_2 FROM Addresses AS T1 JOIN Students AS T2 ON T1.address_id  =  T2.current_address_id GROUP BY T1.address_id ORDER BY count(*) DESC LIMIT 1","SELECT A.address_id, A.line_1, A.line_2
FROM Addresses A
JOIN Students S ON A.address_id = S.current_address_id
GROUP BY A.address_id
ORDER BY COUNT(S.student_id) DESC
LIMIT 1;",Yes,3.9,"SELECT T1.address_id, T1.line_1, T1.line_2 FROM Addresses AS T1 INNER JOIN Students AS T2 ON T1.address_id = T2.current_address_id ORDER BY T2.student_id DESC LIMIT 1;",No,10.4,"SELECT a.id, a.line_1, a.line_2 FROM Students AS s JOIN Address AS a ON s.current_address_id = a.id GROUP BY a.id ORDER BY COUNT(s.student_id) DESC LIMIT 3;",No,101.8
45,"On average, when were the transcripts printed?",easy,SELECT avg(transcript_date) FROM Transcripts,SELECT AVG(transcript_date) FROM Transcripts,Yes,2.6,SELECT AVG(transcript_date) FROM Transcripts;,Yes,8.2,SELECT AVG(transcript_date) FROM Transcripts;,Yes,7.1
46,What is the average transcript date?,easy,SELECT avg(transcript_date) FROM Transcripts,SELECT AVG(transcript_date) FROM Transcripts;,Yes,2.0,SELECT AVG(transcript_date) FROM Transcripts;,Yes,8.4,SELECT AVG(transcript_date) FROM Transcripts;,Yes,7.5
47,When is the first transcript released? List the date and details.,easy,"SELECT transcript_date ,  other_details FROM Transcripts ORDER BY transcript_date ASC LIMIT 1","SELECT T1.transcript_date, T1.other_details FROM Transcripts AS T1 INNER JOIN Transcript_Contents AS T2 ON T1.transcript_id = T2.transcript_id ORDER BY T1.transcript_date LIMIT 1",Yes,3.4,"SELECT T1.transcript_date, T1.other_details FROM Transcripts AS T1;",No,12.2,"SELECT T.transcript_date, T.other_details FROM Transcripts AS T ORDER BY T.transcript_date ASC LIMIT 1;",Yes,9.8
48,"What is the earliest date of a transcript release, and what details can you tell me?",easy,"SELECT transcript_date ,  other_details FROM Transcripts ORDER BY transcript_date ASC LIMIT 1","SELECT T1.transcript_date, 
       T1.other_details 
FROM Transcripts AS T1 
JOIN Transcript_Contents AS T2 ON T1.transcript_id = T2.transcript_id 
JOIN Student_Courses AS T3 ON T2.student_course_id = T3.student_course_id 
WHERE T1.transcript_date IS NOT NULL 
ORDER BY T1.transcript_date ASC LIMIT 1;",No,7.3,"SELECT MIN(trancript_date) AS earliest_release_date, other_details FROM Transcripts;",No,11.8,"SELECT T.transcript_date, T.other_details FROM Transcripts AS T WHERE T.transcript_date = (SELECT MIN(transcript_date) FROM Transcripts);",Yes,10.3
49,How many transcripts are released?,easy,SELECT count(*) FROM Transcripts,SELECT COUNT(*) FROM Transcripts WHERE transcript_date IS NOT NULL,Yes,3.2,SELECT COUNT(*) FROM Transcripts;,Yes,10.1,SELECT COUNT(*) FROM Transcripts;,Yes,8.1
50,How many transcripts are listed?,easy,SELECT count(*) FROM Transcripts,SELECT COUNT(*) FROM Transcripts,Yes,2.3,SELECT COUNT(*) FROM Transcripts;,Yes,8.6,SELECT COUNT(*) FROM Transcripts;,Yes,7.6
51,What is the last transcript release date?,easy,SELECT transcript_date FROM Transcripts ORDER BY transcript_date DESC LIMIT 1,SELECT T1.transcript_date FROM Transcripts AS T1 INNER JOIN Transcript_Contents AS T2 ON T1.transcript_id = T2.transcript_id ORDER BY T2.student_course_id DESC LIMIT 1,No,3.3,SELECT transcript_date FROM Transcripts ORDER BY transcript_date DESC LIMIT 1;,Yes,9.7,SELECT MAX(transcript_date) FROM Transcripts;,Yes,7.8
52,When was the last transcript released?,easy,SELECT transcript_date FROM Transcripts ORDER BY transcript_date DESC LIMIT 1,SELECT T2.transcript_date FROM Student_Enrolment_Courses AS T1 INNER JOIN Transcript_Contents AS T2 ON T1.student_course_id = T2.student_course_id ORDER BY T2.transcript_date DESC LIMIT 1,No,3.6,SELECT MAX(transcript_date) FROM Transcript;,No,10.0,SELECT MAX(transcript_date) FROM Transcripts;,Yes,8.0
53,How many times at most can a course enrollment result show in different transcripts? Also show the course enrollment id.,medium,"SELECT count(*) ,  student_course_id FROM Transcript_Contents GROUP BY student_course_id ORDER BY count(*) DESC LIMIT 1","SELECT COUNT(DISTINCT T1.student_course_id) AS max_enrolments,
       T1.student_course_id
FROM Student_Enrolment_Courses AS T1
JOIN Student_Enrolment AS T2 ON T1.student_enrolment_id = T2.student_enrolment_id
JOIN Courses AS T3 ON T1.course_id = T3.course_id
GROUP BY T1.student_course_id;",No,6.2,SELECT COUNT(DISTINCT student_course_id) FROM Student_Enrolment_Courses LIMIT 1;,No,11.5,"SELECT COUNT(DISTINCT c.student_course_id) AS max_count, e.student_course_id FROM Transcript_Contents AS tc JOIN course_enrollments AS e ON tc.student_course_id = e.course_id GROUP BY e.student_course_id;",No,88.9
54,What is the maximum number of times that a course shows up in different transcripts and what is that course's enrollment id?,medium,"SELECT count(*) ,  student_course_id FROM Transcript_Contents GROUP BY student_course_id ORDER BY count(*) DESC LIMIT 1","SELECT 
  C.course_id,
  COUNT(TCC.student_course_id) AS max_transcript_enrolments
FROM 
  Student_Enrolment_Courses SEC
JOIN 
  Courses C ON SEC.course_id = C.course_id
JOIN 
  Transcript_Contents TCC ON SEC.student_course_id = TCC.student_course_id
GROUP BY 
  C.course_id
ORDER BY 
  max_transcript_enrolments DESC
LIMIT 1;",No,6.2,"SELECT MAX(CASE WHEN NOT tc.student_course_id IS NULL THEN sc.student_enrolment_id END) AS max_enrolments, sc.student_enrolment_id FROM Student_Enrolment_Courses AS sec JOIN Courses AS c ON sec.course_id = c.course_id JOIN Transcript_Contents AS tc ON sec.student_course_id = tc.student_course_id;",No,12.0,SELECT MAX(c.student_course_id) FROM Transcript_Contents AS c JOIN Transcripts AS t ON c.transcript_id = t.transcript_id;,No,33.1
55,"Show the date of the transcript which shows the least number of results, also list the id.",medium,"SELECT T2.transcript_date ,  T1.transcript_id FROM Transcript_Contents AS T1 JOIN Transcripts AS T2 ON T1.transcript_id  =  T2.transcript_id GROUP BY T1.transcript_id ORDER BY count(*) ASC LIMIT 1",SELECT T1.transcript_date FROM Transcripts AS T1 INNER JOIN Transcript_Contents AS T2 ON T1.transcript_id = T2.transcript_id GROUP BY T1.transcript_date ORDER BY COUNT(T2.student_course_id) LIMIT 1,No,4.1,"SELECT MIN(transcript_date) AS min_transcript_date, transcript_id FROM Transcript_Contents GROUP BY transcript_id;",No,10.3,"SELECT MIN(transcript_date) AS min_date, transcript_id FROM Transcripts GROUP BY transcript_id ORDER BY COUNT(*) ASC LIMIT 1;",No,8.7
56,What is the date and id of the transcript with the least number of results?,medium,"SELECT T2.transcript_date ,  T1.transcript_id FROM Transcript_Contents AS T1 JOIN Transcripts AS T2 ON T1.transcript_id  =  T2.transcript_id GROUP BY T1.transcript_id ORDER BY count(*) ASC LIMIT 1","SELECT T1.transcript_date, T1.transcript_id FROM Transcripts AS T1 INNER JOIN Transcript_Contents AS T2 ON T1.transcript_id = T2.transcript_id GROUP BY T1.transcript_id ORDER BY COUNT(T2.student_course_id) LIMIT 1;",Yes,4.3,"SELECT MIN(transcript_date) AS min_transcript_date, transcript_id FROM Transcript_Contents GROUP BY transcript_id ORDER BY COUNT(*) LIMIT 1;",No,11.1,"SELECT MIN(transcript_id), MIN(transcript_date) FROM Transcripts;",No,8.9
57,How many different addresses do the students currently live?,easy,SELECT count(DISTINCT current_address_id) FROM Students,SELECT COUNT(DISTINCT T1.address_id) FROM Addresses AS T1 INNER JOIN Students AS T2 ON T1.address_id = T2.current_address_id,Yes,3.5,SELECT COUNT(DISTINCT T1.address_id) FROM Students AS T1 JOIN Addresses AS T2 ON T1.current_address_id = T2.address_id;,No,11.1,SELECT COUNT(DISTINCT T1.address_id) FROM Students AS T1 JOIN Addresses AS T2 ON T1.current_address_id = T2.address_id;,No,77.6
58,What are the different addresses that have students living there?,easy,SELECT count(DISTINCT current_address_id) FROM Students,"SELECT DISTINCT T1.line_1, T1.line_2, T1.line_3, T1.city, T1.zip_postcode, T1.state_province_county, T1.country 
FROM Addresses AS T1 
JOIN Students AS T2 ON T1.address_id = T2.current_address_id OR T1.address_id = T2.permanent_address_id;",No,5.7,SELECT DISTINCT a.* FROM Addresses AS a JOIN Students AS s ON a.address_id = s.current_address_id OR a.address_id = s.permanent_address_id;,No,9.3,"SELECT DISTINCT a.line_1, a.line_2, a.line_3 FROM Addresses AS a JOIN Students AS s ON a.address_id = s.current_address_id;",No,8.5
59,List all the student details in reversed lexicographical order.,easy,SELECT other_student_details FROM Students ORDER BY other_student_details DESC,"SELECT 
  s.first_name,
  s.middle_name,
  s.last_name,
  s.cell_mobile_number,
  s.email_address,
  s.ssn,
  s.date_first_registered,
  s.date_left,
  s.other_student_details
FROM Students s
ORDER BY s.first_name DESC, s.middle_name DESC, s.last_name DESC;",No,5.6,"SELECT first_name, middle_name, last_name FROM Students ORDER BY first_name DESC;",No,11.0,SELECT other_student_details FROM Students ORDER BY other_student_details DESC;,Yes,7.8
60,What other details can you tell me about students in reverse alphabetical order?,easy,SELECT other_student_details FROM Students ORDER BY other_student_details DESC,"SELECT T1.other_student_details 
FROM Students AS T1 
ORDER BY T1.first_name DESC",Yes,2.7,SELECT other_student_details FROM Students ORDER BY last_name DESC;,Yes,10.3,"SELECT c.first_name, c.middle_name, c.last_name FROM Students AS c ORDER BY last_name DESC;",No,11.1
61,Describe the section h.,easy,SELECT section_description FROM Sections WHERE section_name  =  'h',SELECT T2.section_name FROM Student_Enrolment_Courses AS T1 INNER JOIN Sections AS T2 ON T1.course_id = T2.course_id WHERE T2.section_name = 'h',No,4.2,SELECT section_name FROM Sections WHERE section_name = 'h';,No,10.6,SELECT section_description FROM Sections WHERE section_name = 'h';,Yes,7.3
62,What is the description for the section named h?,easy,SELECT section_description FROM Sections WHERE section_name  =  'h',"SELECT T2.section_description 
FROM Sections AS T1 
JOIN Courses AS T2 ON T1.course_id = T2.course_id 
WHERE T1.section_name = 'h';",No,3.3,SELECT s.section_description FROM Sections AS s WHERE s.section_name = 'h';,Yes,10.4,SELECT section_description FROM Sections WHERE section_name = 'h';,Yes,9.5
63,Find the first name of the students who permanently live in the country Haiti or have the cell phone number 09700166582 .,medium,select t1.first_name from students as t1 join addresses as t2 on t1.permanent_address_id  =  t2.address_id where t2.country  =  'haiti' or t1.cell_mobile_number  =  '09700166582',"SELECT T1.first_name 
FROM Students AS T1 
JOIN Addresses AS T2 ON T1.permanent_address_id = T2.address_id 
WHERE T2.country = 'Haiti' OR T1.cell_mobile_number = '09700166582';",No,5.3,SELECT T1.first_name FROM Students AS T1 INNER JOIN Addresses AS T2 ON T1.current_address_id = T2.address_id WHERE T2.country = 'Haiti' OR T1.cell_mobile_number = '09700166582';,Yes,12.8,SELECT DISTINCT T1.first_name FROM Students AS T1 JOIN Country AS T2 ON T1.current_address_id = T2.Code WHERE T2.Name = 'Haiti' OR T1.cell_mobile_number = '09700166582';,No,96.7
64,What are the first names of the students who live in Haiti permanently or have the cell phone number 09700166582 ?,medium,select t1.first_name from students as t1 join addresses as t2 on t1.permanent_address_id  =  t2.address_id where t2.country  =  'haiti' or t1.cell_mobile_number  =  '09700166582',"SELECT T1.first_name 
FROM Students AS T1 
JOIN Addresses AS T2 ON T1.permanent_address_id = T2.address_id 
WHERE T2.country = 'Haiti' OR T1.cell_mobile_number = '09700166582';",No,4.0,SELECT T1.first_name FROM Students AS T1 JOIN Addresses AS T2 ON T1.current_address_id = T2.address_id WHERE T2.country = 'Haiti' OR T1.cell_mobile_number = '09700166582';,Yes,10.3,SELECT DISTINCT first_name FROM Students WHERE permanent_address_id = 12345 OR cell_mobile_number = '09700166582';,Yes,62.0
